"Country","Sex","Year","Age group","Mean height","Mean height lower 95% uncertainty interval","Mean height upper 95% uncertainty interval","Mean height standard error"
"Greece","Boys",1985,5,115.3643728,112.3124251,118.4504699,1.573618825
"Greece","Boys",1985,6,121.8792626,119.1689788,124.6312937,1.397458613
"Greece","Boys",1985,7,127.8274948,125.3169523,130.4071119,1.289448589
"Greece","Boys",1985,8,133.3439771,130.9248411,135.7662077,1.221006499
"Greece","Boys",1985,9,138.5636435,136.2688502,140.8684078,1.172090157
"Greece","Boys",1985,10,143.6168316,141.3401548,145.840221,1.135710046
"Greece","Boys",1985,11,148.7176343,146.5221468,150.898241,1.112189988
"Greece","Boys",1985,12,154.4169344,152.2704648,156.6046003,1.107713777
"Greece","Boys",1985,13,160.9575629,158.7830696,163.1650414,1.12616934
"Greece","Boys",1985,14,166.9965045,164.698026,169.2844355,1.17066502
"Greece","Boys",1985,15,171.1727899,168.7758708,173.6274918,1.243866145
"Greece","Boys",1985,16,173.6886625,171.0729878,176.3324399,1.339967812
"Greece","Boys",1985,17,175.0962884,172.2176241,177.9389045,1.447092945
"Greece","Boys",1985,18,175.8112975,172.7082062,178.7913844,1.529476463
"Greece","Boys",1985,19,176.2649235,172.9720659,179.4862565,1.641699301
"Greece","Boys",1986,5,115.415982,112.3632307,118.4932659,1.568900083
"Greece","Boys",1986,6,121.9503724,119.2451842,124.7222136,1.394076327
"Greece","Boys",1986,7,127.9111384,125.4046687,130.4934833,1.287512769
"Greece","Boys",1986,8,133.4419878,131.0413667,135.8693372,1.218757224
"Greece","Boys",1986,9,138.6778279,136.365409,140.9967385,1.169691065
"Greece","Boys",1986,10,143.7535931,141.502292,145.9647711,1.129778112
"Greece","Boys",1986,11,148.8833279,146.7020636,151.0445721,1.100344796
"Greece","Boys",1986,12,154.615954,152.4743462,156.7356881,1.085268836
"Greece","Boys",1986,13,161.1865046,159.0628076,163.3087703,1.088386635
"Greece","Boys",1986,14,167.239585,165.0412725,169.4265437,1.113443613
"Greece","Boys",1986,15,171.4221401,169.1715668,173.7039726,1.162738321
"Greece","Boys",1986,16,173.9312693,171.5183058,176.3407626,1.236957517
"Greece","Boys",1986,17,175.3273443,172.7293344,177.9487115,1.322999392
"Greece","Boys",1986,18,176.0266239,173.2428588,178.7346317,1.382770779
"Greece","Boys",1986,19,176.471695,173.5161013,179.3394486,1.4763768
"Greece","Boys",1987,5,115.4350753,112.3816466,118.4970521,1.563067973
"Greece","Boys",1987,6,122.0019816,119.3007688,124.7498642,1.387194549
"Greece","Boys",1987,7,127.9822482,125.480099,130.5541693,1.282085925
"Greece","Boys",1987,8,133.5256314,131.1462197,135.9495657,1.214925901
"Greece","Boys",1987,9,138.7758387,136.4521392,141.0983323,1.165428851
"Greece","Boys",1987,10,143.8677775,141.6030174,146.0842018,1.125241641
"Greece","Boys",1987,11,149.0200894,146.8440078,151.1562066,1.092093823
"Greece","Boys",1987,12,154.7816475,152.6559585,156.8617071,1.070882703
"Greece","Boys",1987,13,161.3855242,159.2661821,163.4649231,1.063005647
"Greece","Boys",1987,14,167.4685267,165.372823,169.5631428,1.072636039
"Greece","Boys",1987,15,171.6652206,169.5132342,173.8355005,1.102422492
"Greece","Boys",1987,16,174.1806194,171.9193825,176.4415211,1.152715176
"Greece","Boys",1987,17,175.569951,173.1923704,177.9939479,1.216650569
"Greece","Boys",1987,18,176.2576797,173.7713348,178.7261569,1.252770853
